"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1043: 0 to 17 years","v_CA21_1046: 0 to 5 years","v_CA21_1049: 18 to 64 years","v_CA21_1052: 65 years and over","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_1088: 0 to 17 years","v_CA21_1091: 0 to 5 years","v_CA21_1094: 18 to 64 years","v_CA21_1097: 65 years and over","v_CA21_1140: Gini index on adjusted household total income","v_CA21_1141: Gini index on adjusted household market income","v_CA21_1142: Gini index on adjusted household after-tax income","v_CA21_8: Total - Age","v_CA21_251: 65 years and over","v_CA21_386: Average age","v_CA21_389: Average age"
"505","5350359.00","CT","0359.00",2.2076,7681,2947,2760,"35535","","3520005","3520",19,25.8,30.8,16,23,10.8,10,12,12,6.8,0.306,0.502,0.276,7680,1200,39.8,38
"506","5350360.00","CT","0360.00",4.5229,6231,2126,2049,"35535","","3520005","3520",6.4,9.4,8,5.4,7.2,4.4,4.6,4,4.9,2.6,0.275,0.39,0.243,6235,1085,41.9,42
"507","5350361.01","CT","0361.01",2.9344,6037,2023,1972,"35535","","3520005","3520",4.2,5.4,5,3.8,4.4,3.7,2.6,3,4.3,2.8,0.326,0.412,0.279,6035,1405,44.2,46.4
"508","5350361.02","CT","0361.02",2.4706,7416,2490,2449,"35535","","3520005","3520",4,6,6.4,3.3,4.4,2.3,2.9,1.6,2.4,1.4,0.261,0.342,0.227,7415,1380,42.1,43.2
"509","5350362.01","CT","0362.01",2.4932,6291,2145,2085,"35535","","3520005","3520",8.4,12.4,12.4,7,9.4,4.8,6.4,7.6,5.2,1.7,0.302,0.429,0.266,6290,1265,42.4,42.4
"510","5350362.02","CT","0362.02",1.9403,5803,1765,1696,"35535","","3520005","3520",5.2,9.2,13,4.8,3.6,5.5,4.8,6,6.9,1.8,0.286,0.396,0.25,5800,1195,43.2,43.2
"511","5350362.03","CT","0362.03",3.2757,6875,2200,2098,"35535","","3520005","3520",7.8,11.2,11,7.9,5.8,7.2,5.6,6,9.4,2.6,0.282,0.402,0.251,6875,1680,44.8,45.6
"512","5350362.04","CT","0362.04",1.3474,5240,1918,1839,"35535","","3520005","3520",7.7,13,12,6.1,8.4,4.7,5.6,5,5.3,2.6,0.263,0.395,0.236,5240,1365,45.8,46
"513","5350363.02","CT","0363.02",1.1895,3270,1126,1089,"35535","","3520005","3520",6.9,10,13,5.3,8.4,5,4.8,5,5.6,3.2,0.281,0.414,0.249,3270,675,43.3,43.2
"514","5350363.04","CT","0363.04",1.1258,3908,1172,1150,"35535","","3520005","3520",6.4,9.2,13,5.5,6.6,4.1,2.4,3,5,2,0.268,0.391,0.239,3910,645,40.9,40
"515","5350363.05","CT","0363.05",0.5046,4665,1779,1695,"35535","","3520005","3520",23.7,30.7,27.2,20.5,27.2,14.4,13.9,12.4,15.8,6.8,0.294,0.508,0.269,4665,470,34.8,32.4
"516","5350363.06","CT","0363.06",0.821,7176,3441,3267,"35535","","3520005","3520",16.7,19.2,15.2,14,27,10.5,10.2,9.2,11,8.4,0.301,0.428,0.271,7180,1090,40.3,37.2
"517","5350363.07","CT","0363.07",2.2422,5164,2011,1934,"35535","","3520005","3520",25.4,27,29.6,22.8,36,14.5,11.2,11,16.7,8.8,0.311,0.537,0.282,5165,665,37.6,35.2
"518","5350364.01","CT","0364.01",2.863,5865,2029,1942,"35535","","3520005","3520",11.2,15.4,20,8.4,16,7.6,8,12,8.8,3.4,0.278,0.428,0.25,5870,1105,41.7,40.8
"519","5350364.02","CT","0364.02",0.7384,3110,999,951,"35535","","3520005","3520",9.1,12.4,14,8.2,9.2,7.2,7.2,8,8.2,4,0.269,0.401,0.243,3110,605,42.6,42
"520","5350365.00","CT","0365.00",1.5674,7650,2450,2328,"35535","","3520005","3520",10.8,14.2,14.4,10,10.4,10.5,9.8,9.6,11.8,4.8,0.271,0.401,0.247,7650,1070,38.6,34.8
